time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1731408573535289199,36.5,1731408573434899001,37.312,1731408573474789370,20.5,1731408573534871392,36.906,False,True,3.0,1.3151915073394775
1731408576475140163,36.5,1731408576394917593,37.312,1731408576435429787,20.5,1731408576474700690,36.906,False,True,3.0,1.2545087337493896
1731408579475544872,36.5,1731408579354865855,37.312,1731408579474948920,20.5,1731408579434783494,36.906,False,True,3.0,1.2532289028167725
1731408582635385497,36.5,1731408582594914350,37.312,1731408582555704995,20.437,1731408582635014522,36.906,True,True,3.0,1.411264419555664
1731408585515178120,36.5,1731408585434907679,37.312,1731408585474911541,20.437,1731408585514752851,36.906,False,True,3.0,1.289414405822754
1731408588515183654,36.5,1731408588394903453,37.312,1731408588514767810,20.5,1731408588474846147,36.906,False,True,3.0,1.2893857955932617
1731408591475179712,36.5,1731408591474750794,37.312,1731408591354879631,20.437,1731408591434829202,36.906,False,True,3.0,1.2475769519805908
1731408594515002864,36.5,1731408594434829179,37.312,1731408594395041674,20.437,1731408594514652444,36.906,False,True,3.0,1.2855725288391113
1731408597475071120,36.5,1731408597354876628,37.312,1731408597474714163,20.5,1731408597434711362,36.906,False,True,3.0,1.243877649307251
1731408600485176525,36.5,1731408600434796689,37.312,1731408600394968882,20.5,1731408600484781607,36.906,False,True,3.0,1.2521913051605225
1731408603555638218,36.5,1731408603434933605,37.312,1731408603555305242,20.5,1731408603514861203,36.906,True,True,3.0,1.3207910060882568
1731408606516113027,36.5,1731408606394879192,37.312,1731408606515609869,20.5,1731408606474903738,36.906,False,True,3.0,1.2806406021118164
1731408609654718880,36.5,1731408609564381125,37.312,1731408609524300832,20.5,1731408609654507106,36.906,False,True,3.0,1.4174330234527588
1731408612475370382,36.5,1731408612434821113,37.312,1731408612394915461,20.5,1731408612474957316,36.906,False,True,3.0,1.2364883422851562
1731408615515975608,36.5,1731408615515555782,37.312,1731408615474933362,20.5,1731408615434902728,36.906,False,True,3.0,1.2752714157104492
1731408618514991055,36.5,1731408618395536095,37.312,1731408618474885419,20.5,1731408618514663320,36.906,False,True,3.0,1.2724637985229492
1731408621515173433,36.5,1731408621354853857,37.312,1731408621514686330,20.5,1731408621475330789,36.906,False,True,3.0,1.27156662940979
1731408624515146617,36.5,1731408624394882191,37.25,1731408624474767351,20.5,1731408624514686755,36.875,True,True,3.0,1.2697579860687256
1731408627525209944,36.5,1731408627434882666,37.312,1731408627485789787,20.5,1731408627524802488,36.906,False,True,3.0,1.2796432971954346
1731408630515195573,36.5,1731408630514796376,37.312,1731408630395941111,20.5,1731408630474823911,36.906,False,True,3.0,1.267878770828247
1731408633715137459,36.5,1731408633714763521,37.312,1731408633594919505,20.437,1731408633674792238,36.906,False,True,3.0,1.467137098312378
1731408636515213724,36.5,1731408636394874189,37.312,1731408636514773028,20.5,1731408636474868501,36.906,False,True,3.0,1.2656455039978027
1731408639515212106,36.5,1731408639514764762,37.312,1731408639434935479,20.5,1731408639474878361,36.906,False,True,3.0,1.263838529586792
1731408642525071465,36.5,1731408642404843688,37.312,1731408642524676657,20.5,1731408642474740426,36.906,False,True,3.0,1.2719013690948486
1731408645515114811,36.437,1731408645435735508,37.312,1731408645474779578,20.5,1731408645514717688,36.8745,True,True,3.0,1.2601792812347412
1731408648525113884,36.437,1731408648395017388,37.25,1731408648524748964,20.5,1731408648475581657,36.8435,False,True,3.0,1.2684099674224854
1731408651515146830,36.437,1731408651434872865,37.25,1731408651514744782,20.5,1731408651475533042,36.8435,False,True,3.0,1.2573926448822021
1731408654515257116,36.5,1731408654475611808,37.25,1731408654514852920,20.5,1731408654405016394,36.875,False,True,3.0,1.255704641342163
1731408657515243193,36.5,1731408657434889958,37.25,1731408657514821385,20.5,1731408657474801006,36.875,False,True,3.0,1.253899335861206
1731408660635116299,36.5,1731408660555694728,37.312,1731408660595016492,20.5,1731408660634640696,36.906,False,True,3.0,1.3731842041015625
1731408663515185559,36.5,1731408663434955459,37.312,1731408663514784566,20.5,1731408663474805440,36.906,True,True,3.0,1.2515838146209717
1731408666515239789,36.437,1731408666394887945,37.25,1731408666475854076,20.5,1731408666514814167,36.8435,False,True,3.0,1.2498588562011719
1731408669644818891,36.5,1731408669594570263,37.25,1731408669644542766,20.5,1731408669514521112,36.875,False,True,3.0,1.3789238929748535
1731408672595256258,36.437,1731408672594874357,37.312,1731408672554874944,20.5,1731408672474913304,36.8745,False,True,3.0,1.329183578491211
1731408675595269618,36.437,1731408675434918335,37.312,1731408675515571265,20.5,1731408675594797811,36.8745,False,True,3.0,1.3274955749511719
1731408678525269593,36.5,1731408678394903491,37.312,1731408678474954956,20.5,1731408678524826637,36.906,False,True,3.0,1.2557663917541504
1731408681515296486,36.5,1731408681434875726,37.312,1731408681474790833,20.5,1731408681514808216,36.906,False,True,3.0,1.2440133094787598
1731408684555242175,36.5,1731408684474885131,37.312,1731408684554792497,20.5,1731408684514794000,36.906,True,True,3.0,1.2830848693847656
1731408687515250701,36.5,1731408687474765302,37.312,1731408687436159501,20.5,1731408687514858985,36.906,False,True,3.0,1.2413239479064941
1731408690555194448,36.437,1731408690514797914,37.312,1731408690474911762,20.5,1731408690554787102,36.8745,False,True,3.0,1.280550241470337
1731408693555137672,36.5,1731408693434879568,37.312,1731408693514875782,20.5,1731408693554770881,36.906,False,True,3.0,1.2800354957580566
1731408696515184826,36.5,1731408696474789250,37.375,1731408696394969972,20.5,1731408696514804295,36.9375,False,True,3.0,1.2383077144622803
1731408699595238814,36.5,1731408699514953724,37.312,1731408699594816840,20.5,1731408699555139657,36.906,False,True,3.0,1.3180274963378906
1731408702515220088,36.5,1731408702395196216,37.312,1731408702474684862,20.5,1731408702514804114,36.906,False,True,3.0,1.2362656593322754
1731408705525215031,36.5,1731408705434890700,37.312,1731408705474746366,20.5,1731408705524853778,36.906,True,True,3.0,1.2444508075714111
1731408708515372889,36.5,1731408708395146134,37.312,1731408708514866471,20.5,1731408708474846565,36.906,False,True,3.0,1.232802152633667
1731408711555276881,36.5,1731408711434877010,37.312,1731408711515665669,20.437,1731408711554906683,36.906,False,True,3.0,1.2708814144134521
1731408714554973402,36.5,1731408714514658216,37.375,1731408714554648296,20.437,1731408714475007910,36.9375,False,True,3.0,1.2687973976135254
1731408717565184134,36.5,1731408717434913105,37.375,1731408717564805640,20.437,1731408717514993045,36.9375,False,True,3.0,1.2772209644317627
1731408720555136816,36.5,1731408720474884763,37.312,1731408720515135658,20.437,1731408720554766415,36.906,False,True,3.0,1.2654073238372803
1731408723555281195,36.5,1731408723435502339,37.312,1731408723514794875,20.437,1731408723554746870,36.906,False,True,3.0,1.263747215270996
1731408726555096117,36.5,1731408726514717108,37.375,1731408726474922127,20.437,1731408726554722382,36.9375,True,True,3.0,1.261770486831665
1731408729634610618,36.562,1731408729514480327,37.375,1731408729634379603,20.437,1731408729594463528,36.9685,False,True,3.0,1.3394646644592285
1731408732555118885,36.5,1731408732475992591,37.312,1731408732514866610,20.437,1731408732554729224,36.906,False,True,3.0,1.2583041191101074
1731408735595157863,36.562,1731408735514518699,37.375,1731408735554803809,20.437,1731408735594748647,36.9685,False,True,3.0,1.2973270416259766
1731408738555890248,36.562,1731408738474918861,37.375,1731408738555495883,20.437,1731408738515385675,36.9685,False,True,3.0,1.2565956115722656
1731408741555510705,36.562,1731408741434863633,37.375,1731408741554915232,20.375,1731408741514891391,36.9685,False,True,3.0,1.2544324398040771
1731408744555253656,36.562,1731408744474883676,37.375,1731408744554806366,20.375,1731408744515465271,36.9685,True,True,3.0,1.2523713111877441
1731408747565243652,36.562,1731408747434917970,37.375,1731408747514881831,20.375,1731408747564816048,36.9685,False,True,3.0,1.2605552673339844
1731408750555161960,36.5,1731408750514753636,37.375,1731408750474919710,20.375,1731408750554789318,36.9375,False,True,3.0,1.2486872673034668
1731408753645425902,36.5,1731408753514867171,37.375,1731408753554769394,20.437,1731408753644974613,36.9375,False,True,3.0,1.3380436897277832
1731408756635167590,36.562,1731408756554965255,37.375,1731408756634765984,20.375,1731408756594847555,36.9685,False,True,3.0,1.3274328708648682
1731408759645237282,36.562,1731408759514861570,37.375,1731408759555063775,20.375,1731408759644822695,36.9685,False,True,3.0,1.337341070175171
1731408762595591765,36.5,1731408762474886163,37.375,1731408762594986774,20.375,1731408762554857566,36.9375,False,True,3.0,1.2869305610656738
1731408765605062573,36.5,1731408765554695234,37.375,1731408765515884356,20.375,1731408765604664986,36.9375,True,True,3.0,1.2946252822875977
1731408768565162031,36.5,1731408768474860325,37.375,1731408768514847095,20.375,1731408768564749222,36.9375,False,True,3.0,1.252959966659546
1731408771555799732,36.5,1731408771445034225,37.375,1731408771555370035,20.375,1731408771514918046,36.9375,False,True,3.0,1.2430708408355713
1731408774565808731,36.5,1731408774526170914,37.375,1731408774565334868,20.375,1731408774475013226,36.9375,False,True,3.0,1.251241683959961
1731408777555153142,36.5,1731408777434899925,37.375,1731408777554756944,20.375,1731408777515114884,36.9375,False,True,3.0,1.2397105693817139
1731408780555042051,36.562,1731408780514919403,37.375,1731408780474912827,20.375,1731408780554680649,36.9685,False,True,3.0,1.2377755641937256
1731408783595173054,36.562,1731408783515700576,37.437,1731408783594813282,20.375,1731408783554656206,36.9995,False,True,3.0,1.276078701019287
1731408786635197360,36.5,1731408786474915468,37.437,1731408786634743348,20.375,1731408786514907734,36.9685,True,True,3.0,1.3158366680145264
1731408789634472226,36.562,1731408789514476682,37.437,1731408789594288442,20.375,1731408789634254711,36.9995,False,True,3.0,1.3133392333984375
1731408792635325642,36.562,1731408792634921129,37.437,1731408792594784269,20.437,1731408792555568043,36.9995,False,True,3.0,1.3126027584075928
1731408795595209594,36.625,1731408795594762637,37.437,1731408795554931474,20.375,1731408795514890406,37.031,False,True,3.0,1.2722980976104736
1731408798595361751,36.625,1731408798474897398,37.437,1731408798594850832,20.437,1731408798554872225,37.031,False,True,3.0,1.270662546157837
1731408801595092373,36.625,1731408801554810545,37.437,1731408801515043469,20.437,1731408801594726397,37.031,False,True,3.0,1.2686100006103516
1731408804595265965,36.625,1731408804474867764,37.437,1731408804594786712,20.437,1731408804554964098,37.031,False,True,3.0,1.2679884433746338
1731408807605227266,36.625,1731408807514879903,37.437,1731408807554823018,20.437,1731408807604786050,37.031,True,True,3.0,1.2777576446533203
1731408810635352838,36.562,1731408810554877150,37.437,1731408810594817452,20.437,1731408810634911233,36.9995,False,True,3.0,1.3061318397521973
1731408813594981501,36.625,1731408813594619191,37.437,1731408813554836496,20.437,1731408813515053597,37.031,False,True,3.0,1.2640092372894287
1731408816645749369,36.562,1731408816645386022,37.437,1731408816604778577,20.437,1731408816554894999,36.9995,False,True,3.0,1.3146767616271973
1731408819596430316,36.562,1731408819554856252,37.437,1731408819595981988,20.437,1731408819514869240,36.9995,False,True,3.0,1.263627529144287
1731408822595236075,36.625,1731408822474958298,37.437,1731408822594713600,20.437,1731408822554713661,37.031,False,True,3.0,1.260657787322998
1731408825595226935,36.625,1731408825594867070,37.437,1731408825554834592,20.437,1731408825514885501,37.031,False,True,3.0,1.2588441371917725
1731408828635210559,36.625,1731408828554877492,37.437,1731408828594869658,20.437,1731408828634810861,37.031,True,True,3.0,1.2980620861053467
1731408831635328837,36.625,1731408831594802862,37.437,1731408831514977913,20.437,1731408831634901306,37.031,False,True,3.0,1.2964327335357666
1731408834675281921,36.625,1731408834554894769,37.437,1731408834674864519,20.437,1731408834634823868,37.031,False,True,3.0,1.3346166610717773
1731408837595366864,36.625,1731408837554752589,37.437,1731408837515389613,20.437,1731408837594829742,37.031,False,True,3.0,1.2529873847961426
1731408840595177393,36.625,1731408840474860932,37.437,1731408840555455142,20.437,1731408840594725010,37.031,False,True,3.0,1.2509937286376953
1731408843595292252,36.625,1731408843514884813,37.437,1731408843554942155,20.437,1731408843594875554,37.031,False,True,3.0,1.250150203704834
1731408846675301856,36.625,1731408846554901533,37.437,1731408846634898610,20.437,1731408846674877677,37.031,False,True,3.0,1.328362226486206
1731408849634433256,36.625,1731408849514298145,37.437,1731408849594165968,20.437,1731408849634153963,37.031,False,True,3.0,1.2857229709625244
1731408852605015555,36.625,1731408852474869736,37.437,1731408852604650578,20.437,1731408852555506868,37.031,True,True,3.0,1.2545745372772217
1731408855605499368,36.625,1731408855605083188,37.437,1731408855514908787,20.437,1731408855554782490,37.031,False,True,3.0,1.254002571105957
1731408858595272353,36.562,1731408858474877580,37.437,1731408858594868988,20.437,1731408858554833432,36.9995,False,True,3.0,1.2419781684875488
1731408861635011521,36.625,1731408861514983774,37.437,1731408861634633285,20.437,1731408861594704689,37.031,False,True,3.0,1.2809743881225586
1731408864635168882,36.625,1731408864554911896,37.437,1731408864594760216,20.437,1731408864634773720,37.031,False,True,3.0,1.2810699939727783
1731408867605157142,36.625,1731408867554801936,37.437,1731408867515882971,20.437,1731408867604716870,37.031,False,True,3.0,1.249281883239746
1731408870595170563,36.625,1731408870474879784,37.437,1731408870594762290,20.437,1731408870554804467,37.031,False,True,3.0,1.2379050254821777
1731408873595095608,36.625,1731408873554625901,37.437,1731408873594647040,20.437,1731408873514913906,37.031,True,True,3.0,1.23716402053833
1731408876605824731,36.625,1731408876474892187,37.437,1731408876605393162,20.437,1731408876555105448,37.031,False,True,3.0,1.2469375133514404
1731408879635182035,36.625,1731408879634763504,37.375,1731408879514881499,20.437,1731408879594835082,37.0,False,True,3.0,1.274517297744751
1731408882595120780,36.625,1731408882474883071,37.375,1731408882554823047,20.437,1731408882594753211,37.0,False,True,3.0,1.233454942703247
1731408885595277284,36.625,1731408885555036159,37.375,1731408885594784624,20.437,1731408885515626320,37.0,False,True,3.0,1.2326619625091553
1731408888635160392,36.625,1731408888594768396,37.437,1731408888634797303,20.437,1731408888554984449,37.031,False,True,3.0,1.2715849876403809
1731408891635169931,36.625,1731408891514864576,37.437,1731408891634771528,20.437,1731408891595017060,37.031,False,True,3.0,1.2711243629455566
1731408894635310232,36.625,1731408894554880452,37.375,1731408894594905771,20.437,1731408894634942589,37.0,True,True,3.0,1.2708635330200195
1731408897635865774,36.562,1731408897514869788,37.375,1731408897594817782,20.437,1731408897635497723,36.9685,False,True,3.0,1.2696359157562256
1731408900635006041,36.625,1731408900634640731,37.437,1731408900554758752,20.437,1731408900594728889,37.031,False,True,3.0,1.266983985900879
1731408903596152166,36.625,1731408903556310766,37.375,1731408903595614339,20.437,1731408903514879571,37.0,False,True,3.0,1.2262506484985352
1731408906635327224,36.625,1731408906594775739,37.375,1731408906555059687,20.5,1731408906634836768,37.0,False,True,3.0,1.264740228652954
1731408909834899111,36.562,1731408909754681329,37.375,1731408909834543931,20.437,1731408909794591880,36.9685,False,True,3.0,1.4641451835632324
